,CURRENT|6
6248,1.184326
6249,1.168945
6250,1.174072
6251,1.189453
6252,1.179199
6253,1.204834
6254,1.24585
6255,1.240723
6256,1.204834
6257,1.220215
6258,1.204834
6259,1.179199
6260,1.184326
6261,1.168945
6262,1.174072
6263,1.189453
6264,1.179199
6265,1.199707
6266,1.240723
6267,1.240723
6268,1.204834
6269,1.220215
6270,1.204834
6271,1.179199
6272,1.184326
6273,1.163818
6274,1.168945
6275,1.189453
6276,1.179199
6277,1.199707
6278,1.24585
6279,1.240723
6280,1.204834
6281,1.215088
6282,1.204834
6283,1.184326
6284,1.184326
6285,1.168945
6286,1.168945
6287,1.189453
6288,1.179199
6289,1.204834
6290,1.24585
6291,1.240723
6292,1.204834
6293,1.220215
6294,1.204834
6295,1.184326
6296,1.189453
6297,1.174072
6298,1.174072
6299,1.19458
6300,1.184326
6301,1.204834
6302,1.240723
6303,1.240723
6304,1.204834
6305,1.220215
6306,1.204834
6307,1.179199
6308,1.189453
6309,1.168945
6310,1.168945
6311,1.19458
6312,1.184326
6313,1.204834
6314,1.24585
6315,1.240723
6316,1.209961
6317,1.220215
6318,1.204834
6319,1.184326
6320,1.184326
6321,1.168945
6322,1.168945
6323,1.19458
6324,1.184326
6325,1.204834
6326,1.24585
6327,1.24585
6328,1.209961
6329,1.220215
6330,1.204834
6331,1.184326
6332,1.189453
6333,1.168945
6334,1.168945
6335,1.19458
6336,1.184326
6337,1.204834
6338,1.240723
6339,1.240723
6340,1.204834
6341,1.220215
6342,1.204834
6343,1.179199
6344,1.184326
6345,1.168945
6346,1.168945
6347,1.189453
6348,1.179199
6349,1.199707
6350,1.240723
6351,1.235596
6352,1.199707
6353,1.215088
6354,1.204834
6355,1.179199
6356,1.184326
6357,1.168945
6358,1.168945
6359,1.189453
6360,1.179199
6361,1.199707
6362,1.240723
6363,1.235596
6364,1.204834
6365,1.220215
6366,1.209961
6367,1.179199
6368,1.184326
6369,1.168945
6370,1.168945
6371,1.189453
6372,1.184326
6373,1.204834
6374,1.240723
6375,1.235596
6376,1.204834
6377,1.215088
6378,1.204834
6379,1.179199
6380,1.184326
6381,1.168945
6382,1.168945
6383,1.189453
6384,1.179199
6385,1.199707
6386,1.240723
6387,1.240723
6388,1.204834
6389,1.215088
6390,1.204834
6391,1.179199
6392,1.184326
6393,1.168945
6394,1.168945
6395,1.189453
6396,1.179199
6397,1.199707
6398,1.24585
6399,1.240723
6400,1.204834
6401,1.215088
6402,1.209961
6403,1.179199
6404,1.184326
6405,1.168945
6406,1.168945
6407,1.189453
6408,1.179199
6409,1.204834
6410,1.24585
6411,1.240723
6412,1.204834
6413,1.220215
6414,1.204834
6415,1.179199
6416,1.189453
6417,1.174072
6418,1.174072
6419,1.19458
6420,1.184326
6421,1.199707
6422,1.240723
6423,1.240723
6424,1.204834
6425,1.220215
6426,1.204834
6427,1.179199
6428,1.184326
6429,1.168945
6430,1.168945
6431,1.189453
6432,1.184326
6433,1.204834
6434,1.240723
6435,1.240723
