column,abs_mean,abs_no_of_peaks_1x,abs_two_times_mean,abs_no_of_peaks_2x,Num_Peaks_Lag100_Inf0,Num_Peaks_Lag100_Inf0.5,Num_Peaks_Lag100_Inf0.9,Num_Peaks_Lag500_Inf0,Num_Peaks_Lag500_Inf0.5,Num_Peaks_Lag500_Inf0.9,Num_Peaks_Lag1000_Inf0,Num_Peaks_Lag1000_Inf0.5,Num_Peaks_Lag1000_Inf0.9,Num_Peaks_Lag5000_Inf0,Num_Peaks_Lag5000_Inf0.5,Num_Peaks_Lag5000_Inf0.9,Num_Peaks_Lag10000_Inf0,Num_Peaks_Lag10000_Inf0.5,Num_Peaks_Lag10000_Inf0.9,Num_Peaks_2t_Lag100_Inf0,Num_Peaks_2t_Lag100_Inf0.5,Num_Peaks_2t_Lag100_Inf0.9,Num_Peaks_2t_Lag500_Inf0,Num_Peaks_2t_Lag500_Inf0.5,Num_Peaks_2t_Lag500_Inf0.9,Num_Peaks_2t_Lag1000_Inf0,Num_Peaks_2t_Lag1000_Inf0.5,Num_Peaks_2t_Lag1000_Inf0.9,Num_Peaks_2t_Lag5000_Inf0,Num_Peaks_2t_Lag5000_Inf0.5,Num_Peaks_2t_Lag5000_Inf0.9,Num_Peaks_2t_Lag10000_Inf0,Num_Peaks_2t_Lag10000_Inf0.5,Num_Peaks_2t_Lag10000_Inf0.9
CURRENT|6,0.794,33906,1.588,3275,68731.0,51319.0,45160.0,68731.0,43710.0,39501.0,68731.0,30915.0,29116.0,68731.0,14894.0,14895.0,48566.0,4865.0,4864.0,68731.0,18598.0,13777.0,68731.0,13663.0,11704.0,68731.0,12334.0,11396.0,68731.0,7306.0,7297.0,43327.0,2880.0,2878.0
LOAD|1,2.856,46518,5.712,970,67438.0,2014.0,1709.0,67276.0,2615.0,2416.0,67416.0,3477.0,3353.0,66569.0,1996.0,1993.0,758.0,575.0,547.0,66633.0,71.0,51.0,65829.0,257.0,228.0,56017.0,385.0,371.0,697.0,164.0,164.0,0.0,0.0,0.0
LOAD|2,2.829,38492,5.658,652,72870.0,1338.0,1129.0,71781.0,2076.0,1974.0,71783.0,3018.0,2889.0,5193.0,2006.0,1965.0,2626.0,1419.0,1404.0,71757.0,69.0,56.0,71741.0,242.0,218.0,71741.0,493.0,472.0,198.0,116.0,116.0,4.0,4.0,4.0
LOAD|3,23.933,37678,47.866,22,5.0,1.0,1.0,54.0,4.0,2.0,54.0,9.0,6.0,30.0,11.0,10.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOAD|6,2.808,33930,5.616,3230,68743.0,1431.0,1320.0,68743.0,3508.0,3403.0,68743.0,5006.0,4922.0,68743.0,3534.0,3527.0,4085.0,1644.0,1644.0,68743.0,364.0,293.0,68743.0,1083.0,1033.0,68743.0,1448.0,1422.0,68743.0,1263.0,1255.0,1088.0,785.0,783.0
ENC_POS|1,360.033,8619,720.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC_POS|2,315.109,11023,630.218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC_POS|3,320.815,66186,641.63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC_POS|6,1020129.801,36077,2040259.602,9357,70013.0,12.0,12.0,70013.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70013.0,12.0,12.0,70013.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTRL_DIFF2|1,0.022,18092,0.044,472,72752.0,74067.0,73883.0,72678.0,73767.0,73666.0,73823.0,73088.0,72991.0,69748.0,69025.0,69010.0,64818.0,63146.0,63141.0,72752.0,73436.0,73090.0,72678.0,73212.0,72946.0,73822.0,72342.0,72129.0,69702.0,68257.0,68240.0,64800.0,61699.0,61694.0
