column,abs_mean,abs_no_of_peaks_1x,abs_two_times_mean,abs_no_of_peaks_2x,Num_Peaks_Lag100_Inf0,Num_Peaks_Lag100_Inf0.5,Num_Peaks_Lag100_Inf0.9,Num_Peaks_Lag500_Inf0,Num_Peaks_Lag500_Inf0.5,Num_Peaks_Lag500_Inf0.9,Num_Peaks_Lag1000_Inf0,Num_Peaks_Lag1000_Inf0.5,Num_Peaks_Lag1000_Inf0.9,Num_Peaks_Lag5000_Inf0,Num_Peaks_Lag5000_Inf0.5,Num_Peaks_Lag5000_Inf0.9,Num_Peaks_Lag10000_Inf0,Num_Peaks_Lag10000_Inf0.5,Num_Peaks_Lag10000_Inf0.9,Num_Peaks_2t_Lag100_Inf0,Num_Peaks_2t_Lag100_Inf0.5,Num_Peaks_2t_Lag100_Inf0.9,Num_Peaks_2t_Lag500_Inf0,Num_Peaks_2t_Lag500_Inf0.5,Num_Peaks_2t_Lag500_Inf0.9,Num_Peaks_2t_Lag1000_Inf0,Num_Peaks_2t_Lag1000_Inf0.5,Num_Peaks_2t_Lag1000_Inf0.9,Num_Peaks_2t_Lag5000_Inf0,Num_Peaks_2t_Lag5000_Inf0.5,Num_Peaks_2t_Lag5000_Inf0.9,Num_Peaks_2t_Lag10000_Inf0,Num_Peaks_2t_Lag10000_Inf0.5,Num_Peaks_2t_Lag10000_Inf0.9
CTRL_DIFF|1,0.001,7258,0.002,1560,44229.0,45354.0,45348.0,44969.0,44957.0,44955.0,44275.0,44452.0,44447.0,40467.0,40448.0,40452.0,35457.0,35456.0,35452.0,44229.0,45347.0,45322.0,44969.0,44941.0,44936.0,44275.0,44440.0,44431.0,40465.0,40437.0,40433.0,35449.0,35439.0,35437.0
CTRL_DIFF|2,0.001,6896,0.002,1579,45369.0,45365.0,45356.0,44969.0,44959.0,44958.0,44469.0,44451.0,44447.0,40467.0,40455.0,40454.0,35463.0,35459.0,35460.0,45369.0,45356.0,45344.0,44969.0,44945.0,44943.0,44469.0,44442.0,44432.0,40463.0,40437.0,40438.0,35456.0,35450.0,35449.0
CTRL_DIFF|3,0.001,7634,0.002,2090,43857.0,45356.0,45349.0,44969.0,44953.0,44952.0,44469.0,44450.0,44440.0,40469.0,40461.0,40457.0,35465.0,35453.0,35450.0,43857.0,45346.0,45329.0,44969.0,44945.0,44929.0,44469.0,44434.0,44423.0,40469.0,40450.0,40444.0,35446.0,35438.0,35430.0
CTRL_DIFF|6,0.0,1887,0.0,1887,1887.0,3035.0,2304.0,1887.0,3433.0,2703.0,1887.0,3939.0,3203.0,3470.0,3470.0,3470.0,3470.0,3470.0,3470.0,1887.0,3035.0,2304.0,1887.0,3433.0,2702.0,1887.0,3939.0,3203.0,3470.0,3470.0,3470.0,3470.0,3470.0,3470.0
CTRL_POS|1,352.989,7302,705.978,0,41714.0,8.0,8.0,41714.0,7.0,7.0,41714.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,41714.0,8.0,8.0,41714.0,7.0,7.0,41714.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
CTRL_POS|2,307.625,8786,615.25,0,41714.0,10.0,10.0,41714.0,8.0,8.0,41714.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,41714.0,10.0,10.0,41714.0,8.0,8.0,41714.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
CTRL_POS|3,324.815,39108,649.63,0,41949.0,5.0,5.0,41949.0,4.0,3.0,41949.0,6.0,4.0,2286.0,4.0,3.0,2286.0,5.0,4.0,41949.0,5.0,5.0,41949.0,3.0,3.0,41949.0,4.0,3.0,2286.0,2.0,2.0,2286.0,3.0,2.0
CTRL_POS|6,489066.515,22189,978133.03,6072,41228.0,2.0,2.0,41228.0,2.0,2.0,41228.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,41228.0,2.0,2.0,41228.0,2.0,2.0,41228.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
VEL_FFW|1,6.915,9955,13.83,461,30941.0,518.0,444.0,30941.0,748.0,717.0,30941.0,746.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,30941.0,257.0,165.0,30941.0,359.0,320.0,30941.0,352.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
VEL_FFW|2,5.885,16050,11.77,460,28768.0,545.0,480.0,28768.0,864.0,834.0,28768.0,995.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,28768.0,277.0,185.0,28768.0,386.0,337.0,28768.0,448.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0
VEL_FFW|3,5.217,943,10.434,900,1447.0,140.0,121.0,1447.0,248.0,242.0,1447.0,322.0,318.0,288.0,159.0,159.0,288.0,169.0,169.0,1447.0,58.0,44.0,1447.0,113.0,103.0,1447.0,173.0,165.0,288.0,121.0,120.0,288.0,144.0,144.0
VEL_FFW|6,13367.556,30990,26735.112,0,39388.0,45.0,45.0,39388.0,39.0,39.0,39388.0,31.0,31.0,8161.0,2.0,2.0,0.0,0.0,0.0,39388.0,45.0,45.0,39388.0,39.0,39.0,39388.0,31.0,31.0,8161.0,2.0,2.0,0.0,0.0,0.0
CONT_DEV|1,0.001,7118,0.002,1469,44221.0,45360.0,45351.0,44969.0,44955.0,44958.0,44273.0,44458.0,44457.0,40467.0,40454.0,40450.0,35463.0,35458.0,35455.0,44221.0,45354.0,45333.0,44969.0,44946.0,44939.0,44273.0,44451.0,44440.0,40457.0,40441.0,40438.0,35462.0,35446.0,35442.0
CONT_DEV|2,0.001,6942,0.002,1512,45369.0,45363.0,45358.0,44969.0,44960.0,44950.0,44469.0,44455.0,44454.0,40467.0,40452.0,40447.0,35461.0,35456.0,35456.0,45369.0,45352.0,45346.0,44969.0,44947.0,44941.0,44469.0,44441.0,44440.0,40455.0,40431.0,40427.0,35461.0,35445.0,35441.0
CONT_DEV|3,0.001,7618,0.002,2026,43853.0,45363.0,45355.0,44969.0,44956.0,44955.0,44469.0,44458.0,44450.0,40469.0,40462.0,40461.0,35464.0,35453.0,35451.0,43853.0,45352.0,45342.0,44969.0,44950.0,44944.0,44469.0,44445.0,44435.0,40469.0,40453.0,40448.0,35428.0,35438.0,35434.0
CONT_DEV|6,0.0,1886,0.0,1886,1886.0,3034.0,2303.0,1886.0,3431.0,2701.0,1886.0,3938.0,3202.0,3470.0,3470.0,3470.0,3470.0,3470.0,3470.0,1886.0,3034.0,2303.0,1886.0,3431.0,2701.0,1886.0,3938.0,3202.0,3470.0,3470.0,3470.0,3470.0,3470.0,3470.0
CMD_SPEED|1,9.344,9945,18.688,461,41723.0,73.0,44.0,41720.0,341.0,303.0,39747.0,332.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,41716.0,2.0,2.0,41712.0,30.0,18.0,14168.0,97.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
CMD_SPEED|2,7.951,15999,15.902,460,41727.0,147.0,97.0,41788.0,426.0,390.0,41627.0,555.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,41714.0,8.0,3.0,13227.0,72.0,54.0,39804.0,188.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
CMD_SPEED|3,7.073,947,14.146,900,43859.0,115.0,86.0,42122.0,282.0,251.0,1670.0,341.0,307.0,239.0,151.0,151.0,227.0,157.0,157.0,43859.0,24.0,11.0,42001.0,72.0,58.0,1153.0,121.0,105.0,218.0,92.0,91.0,219.0,119.0,118.0
CMD_SPEED|6,13367.562,30990,26735.124,0,41244.0,48.0,48.0,41244.0,40.0,40.0,41244.0,30.0,30.0,8161.0,2.0,2.0,0.0,0.0,0.0,41244.0,48.0,48.0,41244.0,40.0,40.0,41244.0,30.0,30.0,8161.0,2.0,2.0,0.0,0.0,0.0
TORQUE_FFW|1,4980.056,1435,9960.112,1318,22983.0,54.0,54.0,22983.0,13.0,13.0,22983.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22983.0,54.0,54.0,22983.0,13.0,13.0,22983.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
TORQUE_FFW|2,4687.825,1266,9375.65,1191,21969.0,49.0,49.0,21969.0,13.0,13.0,21969.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,21969.0,49.0,49.0,21969.0,13.0,13.0,21969.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
TORQUE_FFW|3,11683.719,906,23367.438,882,1119.0,7.0,7.0,1119.0,3.0,3.0,1119.0,3.0,3.0,236.0,1.0,1.0,236.0,1.0,1.0,1119.0,7.0,7.0,1119.0,3.0,3.0,1119.0,3.0,3.0,236.0,1.0,1.0,236.0,1.0,1.0
TORQUE_FFW|6,2504729.946,1596,5009459.892,1555,4773.0,68.0,68.0,4773.0,22.0,22.0,4773.0,20.0,20.0,474.0,2.0,2.0,0.0,0.0,0.0,4773.0,68.0,68.0,4773.0,22.0,22.0,4773.0,20.0,20.0,474.0,2.0,2.0,0.0,0.0,0.0
ENC1_POS|1,4951.608,38170,9903.216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC1_POS|2,9390.664,8778,18781.328,0,44654.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44654.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC1_POS|3,338.954,6359,677.908,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC1_POS|6,489010.195,22189,978020.39,6074,43455.0,11.0,11.0,43429.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43455.0,11.0,11.0,43429.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC2_POS|1,353.006,7300,706.012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC2_POS|2,307.639,8780,615.278,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC2_POS|3,324.801,39109,649.602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC2_POS|6,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
