column,abs_mean,abs_no_of_peaks_1x,abs_two_times_mean,abs_no_of_peaks_2x,Num_Peaks_Lag100_Inf0,Num_Peaks_Lag100_Inf0.5,Num_Peaks_Lag100_Inf0.9,Num_Peaks_Lag500_Inf0,Num_Peaks_Lag500_Inf0.5,Num_Peaks_Lag500_Inf0.9,Num_Peaks_Lag1000_Inf0,Num_Peaks_Lag1000_Inf0.5,Num_Peaks_Lag1000_Inf0.9,Num_Peaks_Lag5000_Inf0,Num_Peaks_Lag5000_Inf0.5,Num_Peaks_Lag5000_Inf0.9,Num_Peaks_Lag10000_Inf0,Num_Peaks_Lag10000_Inf0.5,Num_Peaks_Lag10000_Inf0.9,Num_Peaks_2t_Lag100_Inf0,Num_Peaks_2t_Lag100_Inf0.5,Num_Peaks_2t_Lag100_Inf0.9,Num_Peaks_2t_Lag500_Inf0,Num_Peaks_2t_Lag500_Inf0.5,Num_Peaks_2t_Lag500_Inf0.9,Num_Peaks_2t_Lag1000_Inf0,Num_Peaks_2t_Lag1000_Inf0.5,Num_Peaks_2t_Lag1000_Inf0.9,Num_Peaks_2t_Lag5000_Inf0,Num_Peaks_2t_Lag5000_Inf0.5,Num_Peaks_2t_Lag5000_Inf0.9,Num_Peaks_2t_Lag10000_Inf0,Num_Peaks_2t_Lag10000_Inf0.5,Num_Peaks_2t_Lag10000_Inf0.9
CURRENT|6,1.254,10907,2.508,1038,63159.0,25318.0,18624.0,63159.0,21575.0,17358.0,63159.0,16059.0,14050.0,48805.0,4980.0,4956.0,41873.0,760.0,758.0,63159.0,942.0,849.0,63159.0,1846.0,1774.0,63159.0,2464.0,2425.0,11279.0,1683.0,1675.0,9297.0,660.0,657.0
LOAD|1,0.626,36776,1.252,572,64237.0,40063.0,36852.0,63553.0,37873.0,35618.0,62325.0,36905.0,35174.0,56171.0,35326.0,34505.0,50511.0,31085.0,30330.0,64021.0,21234.0,17744.0,63477.0,18864.0,16835.0,62275.0,17577.0,16418.0,54341.0,19663.0,18785.0,24764.0,10562.0,9946.0
LOAD|2,6.792,36838,13.584,0,63397.0,94.0,81.0,63397.0,175.0,164.0,19568.0,212.0,197.0,1445.0,154.0,144.0,28.0,26.0,26.0,63397.0,29.0,22.0,63397.0,76.0,68.0,612.0,72.0,66.0,31.0,28.0,25.0,8.0,8.0,8.0
LOAD|3,0.548,11749,1.096,504,64217.0,50263.0,45679.0,63572.0,51030.0,48560.0,62231.0,47517.0,46074.0,54666.0,37576.0,37262.0,51731.0,33702.0,33573.0,62257.0,34951.0,26971.0,61233.0,34287.0,30747.0,61242.0,30745.0,28981.0,53501.0,20039.0,19307.0,47209.0,20524.0,20222.0
LOAD|6,2.267,11078,4.534,1060,63179.0,2046.0,1529.0,63173.0,2520.0,2345.0,63173.0,3072.0,3007.0,41374.0,1954.0,1950.0,11574.0,672.0,672.0,63179.0,309.0,270.0,63173.0,594.0,578.0,63173.0,838.0,817.0,1945.0,679.0,668.0,986.0,494.0,494.0
ENC_POS|1,14.848,34443,29.696,0,63316.0,15.0,9.0,63316.0,44.0,37.0,60123.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63377.0,16.0,9.0,60121.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC_POS|2,303.766,31177,607.532,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC_POS|3,383.025,3040,766.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC_POS|6,1016491.761,31502,2032983.522,4998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTRL_DIFF2|1,0.001,1594,0.002,1347,63735.0,64221.0,64207.0,63838.0,63813.0,63800.0,63338.0,63321.0,63316.0,59269.0,59249.0,59248.0,54330.0,54213.0,54211.0,63735.0,64191.0,64184.0,63838.0,63783.0,63768.0,63338.0,63296.0,63286.0,59308.0,59170.0,59161.0,54306.0,54094.0,54097.0
