Dataset,Train_R2,Train_RMSE,Test_R2,Test_RMSE
RS_Energie_V_AL_2007.csv,0.9797247082143556,0.0025599778734419,0.7332071038634139,0.01262570010976
RS_Energie_V_S235JR.csv,0.9994055066483644,0.0257263172089246,0.6854269637668394,0.7284067347976481
AL_RS_Energie.csv,0.9683152458602656,0.4313433164350913,0.7133435965684745,1.7115840287259658
S_RS_Energie.csv set1,0.997522972332808,0.112343105378224,-1.8475282957761787,5.181610665023095
S_RS_Energie.csv set2,0.996394613418558,0.135536702289746,0.949238435783454,0.6918281863028123
S_RS_Energie.csv set3,0.9975471396647311,0.11179371951138868,0.8664490484062773,1.1221586130009666
