Train_y,Train_pred_y
-1.1638180000000005,-1.2883835
-1.1586910000000041,-1.2997084
-1.1791990000000006,-1.2942163
-1.1894530000000043,-1.3382163
-1.2253420000000008,-1.3672243
-1.2099610000000007,-1.3878067
-1.184325999999997,-1.3855139
-1.2048340000000042,-1.3333768
-1.199706999999997,-1.3621827
-1.184325999999997,-1.3370382
-1.1791990000000006,-1.2847972
-1.153563999999997,-1.3312805
-1.1638180000000005,-1.3153702
-1.184325999999997,-1.2888917
-1.1894530000000043,-1.377914
-1.2202150000000043,-1.3704988
-1.2099610000000007,-1.3647584
-1.184325999999997,-1.3570776
-1.2048340000000042,-1.3313556
-1.1894530000000043,-1.3352249
-1.168944999999997,-1.3205504
-1.148437999999996,-1.3520072
-1.1740720000000042,-1.3065807
-1.168944999999997,-1.3072621
-1.1638180000000005,-1.3211626
-1.1894530000000043,-1.3096529
-1.2253420000000008,-1.3688298
-1.215087999999997,-1.3975145
-1.2048340000000042,-1.3902148
-1.1945800000000006,-1.3393366
-1.1945800000000006,-1.3206255
-1.1740720000000042,-1.3096876
-1.1740720000000042,-1.3568581
-1.1638180000000005,-1.3445342
-1.1740720000000042,-1.322895
-1.1791990000000006,-1.2985071
-1.184325999999997,-1.3461108
-1.215087999999997,-1.3662137
-1.1894530000000043,-1.3755808
-1.199706999999997,-1.3220462
-1.1945800000000006,-1.3682927
-1.1945800000000006,-1.3575858
-1.168944999999997,-1.3358716
-1.1586910000000041,-1.3459895
-1.1791990000000006,-1.306777
-1.1638180000000005,-1.314042
-1.1740720000000042,-1.3129562
-1.1740720000000042,-1.2997429
-1.184325999999997,-1.3625062
-1.2253420000000008,-1.3443437
-1.2099610000000007,-1.3854562
-1.1945800000000006,-1.3916124
-1.2048340000000042,-1.3413811
-1.2048340000000042,-1.3554721
-1.1740720000000042,-1.3163924
-1.1638180000000005,-1.3185523
-1.1740720000000042,-1.3203714
-1.1638180000000005,-1.2881986
-1.1791990000000006,-1.308394
-1.1791990000000006,-1.3075739
-1.184325999999997,-1.3522035
-1.2304689999999971,-1.3403646
-1.199706999999997,-1.3889674
-1.199706999999997,-1.3431655
-1.1945800000000006,-1.3704584
-1.199706999999997,-1.3648046
-1.168944999999997,-1.3286874
-1.1586910000000041,-1.3393945
-1.168944999999997,-1.3079609
-1.1638180000000005,-1.3393309
-1.1740720000000042,-1.3451753
-1.1791990000000006,-1.3186909
-1.2253420000000008,-1.3596187
-1.2099610000000007,-1.3946038
-1.199706999999997,-1.3876969
-1.1945800000000006,-1.3650818
-1.199706999999997,-1.3277924
-1.1740720000000042,-1.2946552
-1.168944999999997,-1.3130891
-1.168944999999997,-1.2998296
-1.1638180000000005,-1.3417333
-1.1740720000000042,-1.3336194
-1.1740720000000042,-1.3358254
-1.1791990000000006,-1.3589834
-1.2202150000000043,-1.3791729
-1.215087999999997,-1.3886497
-1.2099610000000007,-1.3646024
-1.199706999999997,-1.3231145
-1.1894530000000043,-1.3628411
-1.2048340000000042,-1.3454351
-1.168944999999997,-1.3450482
-1.1638180000000005,-1.3164444
-1.168944999999997,-1.2921199
-1.1638180000000005,-1.3288608
-1.1740720000000042,-1.3282024
-1.1791990000000006,-1.3278213
-1.2253420000000008,-1.3210125
-1.215087999999997,-1.3853523
-1.2099610000000007,-1.3723238
-1.1945800000000006,-1.3388457
-1.184325999999997,-1.3636265
-1.2048340000000042,-1.3348956
-1.1638180000000005,-1.3269781
-1.168944999999997,-1.2896482
-1.1638180000000005,-1.2779249
-1.1638180000000005,-1.3239
-1.184325999999997,-1.326516
-1.1791990000000006,-1.3241599
-1.184325999999997,-1.3459145
-1.2253420000000008,-1.3615648
-1.215087999999997,-1.3920975
-1.2202150000000043,-1.376424
-1.2048340000000042,-1.3352017
-1.199706999999997,-1.3661329
-1.215087999999997,-1.3450078
-1.1740720000000042,-1.3318406
-1.1740720000000042,-1.3137764
-1.1586910000000041,-1.2800616
-1.1586910000000041,-1.3688875
-1.184325999999997,-1.3286933
-1.1740720000000042,-1.3264005
-1.184325999999997,-1.3116511
-1.2202150000000043,-1.3580594
-1.199706999999997,-1.4031509
-1.2099610000000007,-1.3702736
-1.168944999999997,-1.3221848
-1.1740720000000042,-1.2951056
-1.1638180000000005,-1.313476
-1.1586910000000041,-1.3649317
-1.184325999999997,-1.3371884
-1.184325999999997,-1.3290918
-1.2048340000000042,-1.3590295
-1.2099610000000007,-1.4116517
-1.215087999999997,-1.3848094
-1.199706999999997,-1.3291957
-1.1894530000000043,-1.354219
-1.199706999999997,-1.3341391
-1.1638180000000005,-1.345077
-1.1740720000000042,-1.319176
-1.1586910000000041,-1.3227507
-1.1586910000000041,-1.3309513
-1.184325999999997,-1.3387129
-1.168944999999997,-1.3203368
-1.184325999999997,-1.316583
-1.2048340000000042,-1.3101611
-1.215087999999997,-1.4009911
-1.215087999999997,-1.3721967
-1.1894530000000043,-1.3363336
-1.1894530000000043,-1.3430789
-1.199706999999997,-1.341023
-1.1638180000000005,-1.3316616
-1.168944999999997,-1.3025843
-1.1586910000000041,-1.2948804
-1.153563999999997,-1.3245006
-1.1740720000000042,-1.3157687
-1.168944999999997,-1.3375349
-1.1894530000000043,-1.3280637
-1.2048340000000042,-1.3479011
-1.2099610000000007,-1.39763
-1.2202150000000043,-1.3766088
-1.1945800000000006,-1.3414735
-1.1945800000000006,-1.3572912
-1.1945800000000006,-1.3507943
-1.168944999999997,-1.3700483
-1.1791990000000006,-1.3154165
-1.1586910000000041,-1.3171952
-1.1586910000000041,-1.3366282
