Dataset                  ,Train_R2_5050      ,Train_RMSE_5050      ,Test_R2_5050       ,Test_RMSE_5050      ,Train_R2_3070      ,Train_RMSE_3070      ,Test_R2_3070          ,Test_RMSE_3070     ,Train_R2_2080      ,Train_RMSE_2080      ,Test_R2_2080        ,Test_RMSE_2080
RS_Energie_V_AL_2007.csv ,0.9960728391631247 ,0.057055978455882714 ,0.7819971623647479 ,0.34318596730052703 ,0.9997762122472825 ,0.011563444340185185 ,-0.4803503459398899   ,1.0353555048422098 ,0.9994003890536863 ,0.021456599242695232 ,-0.8920585315884277 ,1.1098988302577733
RS_Energie_V_S235JR.csv  ,0.9993231754495638 ,0.030467275531543176 ,0.8834626148576349 ,0.4422991579142669  ,0.9996314737548325 ,0.021589856513663724 ,-0.017367170094441775 ,1.3331707913107538 ,0.9998382123176723 ,0.015449766987983622 ,0.09965713413349264 ,1.2151442790930593
AL_RS_Energie.csv        ,0.9976817853232396 ,0.12099612835730995  ,0.9318481952473012 ,0.8330321805315083  ,0.992480398469348  ,0.16344450342192005  ,-0.8019746070994691   ,4.297554675180186  ,0.9518448325621347 ,0.4616224926528259   ,-0.7843938130917358 ,4.056937685735042
S_RS_Energie.csv         ,0.9968297111105048 ,0.1320538382995763   ,0.9348834374260093 ,0.7730796002163103  ,0.9820510181693833 ,0.25382356409726625  ,-0.3661795820016174   ,3.495636657590731  ,0.9937772678546428 ,0.16845032828540005  ,-2.2924946062631686 ,5.19539499277104
