Dataset,Train_R2,Test_R2,Train_RMSE,Test_RMSE
CMX1_AL_CP1.csv,0.9998,0.998,0.0155,0.0339
CMX1_AL_CP2.csv,0.997,0.974,0.0486,0.1045
CMX1_S_CP1.csv,0.9997,0.3851,0.0531,1.4145
CMX1_S_CP2.csv,0.9948,0.208,0.0786,1.3628
DMC2_AL_CP1.csv,0.9968,-0.3782,0.0651,2.8175
DMC2_AL_CP2.csv,0.9965,0.9157,0.1577,0.9667
DMC2_S_CP1.csv,0.9995,0.4984,0.0578,2.7594
DMC2_S_CP2.csv,0.8709,0.7767,0.8673,1.5766
