Dataset,Train_R2,Train_RMSE,Test_R2,Test_RMSE
Peak_RFR_RFC_RS_Energie_V_AL_2007.csv,0.9999934671015378,0.0034628897681593,0.8890075625160992,0.3177914095731406
NonPeak_RFR_RFC_RS_Energie_V_AL_2007.csv,0.9999960403451038,0.0012403576431147,0.513072845748112,0.4380791941421554
Peak_RFR_RFC_RS_Energie_V_S235JR.csv,0.9999962180359624,0.0024940323328287,0.8435548825922821,0.3884977830809799
NonPeak_RFR_RFC_RS_Energie_V_S235JR.csv,0.9999798552436304,0.0045905116104427,0.9830398054320464,0.0585390607271627
Peak_RFR_RFC_AL_RS_Energie.csv,0.9993469883115584,0.0361421368636919,0.7806592071096872,1.3292370164479452
NonPeak_RFR_RFC_AL_RS_Energie.csv,0.9996872630720256,0.0424210841362801,0.9667081824652136,0.5897744430308206
Peak_RFR_RFC_S_RS_Energie.csv,0.9998204316683954,0.0399458545392971,0.8478084921387983,1.1039176959827803
NonPeak_RFR_RFC_S_RS_Energie.csv,0.9994803662908888,0.0397552347465417,0.8124593706562411,1.104215849771009
Peak_RFR_XGB_RS_Energie_V_AL_2007.csv,0.9999916291246206,0.0039185771942368,0.8605108183353953,0.2297147470608753
NonPeak_RFR_XGB_RS_Energie_V_AL_2007.csv,0.999995752610976,0.0012847184703782,0.5183742277833725,0.6860931423535774
Peak_RFR_XGB_RS_Energie_V_S235JR.csv,0.999996254857022,0.0024750871485155,0.8400377608990548,0.3875445153102968
NonPeak_RFR_XGB_RS_Energie_V_S235JR.csv,0.9999770859904424,0.0049006288111831,0.8898135557716865,0.3009629251610382
Peak_RFR_XGB_AL_RS_Energie.csv,0.9994178922111024,0.0341236166132679,0.7713532041624636,1.0801945293482071
NonPeak_RFR_XGB_AL_RS_Energie.csv,0.9996522962476696,0.0447297910333749,0.9430216762365496,0.9731793345709248
Peak_RFR_XGB_S_RS_Energie.csv,0.9997870434043824,0.0434463907858897,0.8245113924820519,1.244890984806877
NonPeak_RFR_XGB_S_RS_Energie.csv,0.9995757030332056,0.0359220104125599,0.8116270038357366,1.0593649480636
Peak_LSTM_RFC_RS_Energie_V_AL_2007.csv,0.9952811944221438,0.0935322272094766,-0.7670516862782111,1.2714490470349638
NonPeak_LSTM_RFC_RS_Energie_V_AL_2007.csv,0.9890964734906668,0.0651958001104321,0.2466864455440695,0.5452160843344419
Peak_LSTM_RFC_RS_Energie_V_S235JR.csv,0.998590626870395,0.04820573182697632,0.5806495326690819,0.6364458210926774
NonPeak_LSTM_RFC_RS_Energie_V_S235JR.csv,0.9991229992170946,0.030163485893044472,-2.749629966017931,0.7986907447672872
Peak_LSTM_RFC_AL_RS_Energie.csv,0.9631037172893636,0.2719485176690796,0.6637625340028502,1.646922429159184
NonPeak_LSTM_RFC_AL_RS_Energie.csv,0.985123655765831,0.2933407961176373,0.6905521156780723,1.7893742815493434
Peak_LSTM_RFC_S_RS_Energie.csv,0.9537863870811866,0.6441562646718855,0.2345356817786442,2.482516154681
NonPeak_LSTM_RFC_S_RS_Energie.csv,0.9887693832244516,0.1845579774708035,0.8210031719013813,1.0800958234743523
Peak_LSTM_XGB_RS_Energie_V_AL_2007.csv,0.9955847186636209,0.09044416331041188,-17.392284489425542,2.6392326639871904
NonPeak_LSTM_XGB_RS_Energie_V_AL_2007.csv,0.9959526636292435,0.03972370038046935,0.3748364985932646,0.7841264097292492
Peak_LSTM_XGB_RS_Energie_V_S235JR.csv,0.9861732423450364,0.15057755653935018,0.4621891504476967,0.7110985611191402
NonPeak_LSTM_XGB_RS_Energie_V_S235JR.csv,0.9985677959885271,0.03856406377092124,-3.256285510647065,1.855395555101468
Peak_LSTM_XGB_AL_RS_Energie.csv,0.9388961709860784,0.3499690205999898,0.7824016322173548,1.054635509451308
NonPeak_LSTM_XGB_AL_RS_Energie.csv,0.9891115765555993,0.2509613591155695,0.8012002102563048,1.8214520316372267
Peak_LSTM_XGB_S_RS_Energie.csv,0.9586292959419016,0.6087180749656541,0.306656361028218,2.480242469925658
NonPeak_LSTM_XGB_S_RS_Energie.csv,0.9891089950720877,0.18173391095432603,0.8005992854902422,1.0914065941468902
