Train_y,Train_pred_y
0.0,-0.071833074
0.0,-0.07177253
0.0,-0.07297572
0.0,-0.07247184
0.0,-0.07183748
0.0,-0.07206948
0.0,-0.07149465
0.0,-0.07185086
0.0,-0.07170838
0.0,-0.07158256
0.0,-0.0718653
0.0,-0.07205169
0.0,-0.07200774
0.0,-0.0719347
0.0,-0.07189054
0.0,-0.072944365
0.0,-0.07140535
0.0,-0.07139228
0.0,-0.07184587
0.0,-0.07172977
0.0,-0.072786726
0.0,-0.07221604
0.0,-0.0719048
0.0,-0.07061523
0.0,-0.07121901
0.0,-0.07198654
0.0,-0.07148267
0.0,-0.0713416
0.0,-0.07190229
0.0,-0.071809955
0.0,-0.07291716
0.0,-0.072243765
0.0,-0.07079573
0.0,-0.07147359
0.0,-0.072141334
0.0,-0.0722824
0.0,-0.07186894
0.0,-0.07200782
0.0,-0.07181388
0.0,-0.07177903
0.0,-0.07240011
0.0,-0.07211455
0.0,-0.07194741
0.0,-0.07195551
0.0,-0.07181033
0.0,-0.07179038
0.0,-0.0719705
0.0,-0.07288615
0.0,-0.072379224
0.0,-0.072114974
0.0,-0.072196156
0.0,-0.07193085
0.0,-0.07177085
0.0,-0.07214895
0.0,-0.0720501
0.0,-0.07198673
0.0,-0.071082085
0.0,-0.07128754
0.0,-0.07201995
0.0,-0.073353335
0.0,-0.07317306
0.0,-0.0731549
0.0,-0.07188051
0.0,-0.07123089
0.0,-0.07142456
0.0,-0.07116789
0.0,-0.07158767
0.0,-0.0714917
0.0,-0.071072824
0.0,-0.071075216
0.0,-0.07163749
0.0,-0.07226781
0.0,-0.07197658
0.0,-0.07119509
0.0,-0.07128755
0.0,-0.07167495
0.0,-0.07161766
0.0,-0.07173655
0.0,-0.0728301
0.0,-0.07321514
0.0,-0.07231623
0.0,-0.07149112
0.0,-0.07191428
0.0,-0.071365654
0.0,-0.07176927
0.0,-0.07160311
0.0,-0.07190095
0.0,-0.071624584
0.0,-0.07250157
0.0,-0.072430596
0.0,-0.07193499
0.0,-0.072049215
0.0,-0.071975976
0.0,-0.07201999
0.0,-0.07215615
0.0,-0.07233739
0.0,-0.071755774
0.0,-0.07180039
0.0,-0.07158966
0.0,-0.07113379
0.0,-0.070744105
0.0,-0.07265076
0.0,-0.0727105
0.0,-0.07183846
0.0,-0.07216768
0.0,-0.07233413
0.0,-0.07190345
0.0,-0.07226397
0.0,-0.07287197
0.0,-0.071430065
0.0,-0.07142102
0.0,-0.07215441
0.0,-0.07278875
0.0,-0.07317556
0.0,-0.07217537
0.0,-0.07151756
0.0,-0.071277484
0.0,-0.07141042
0.0,-0.07170884
0.0,-0.07091865
0.0,-0.0711797
0.0,-0.07192845
0.0,-0.07213357
0.0,-0.072139226
0.0,-0.07190055
0.0,-0.07082901
0.0,-0.07268897
0.0,-0.07147301
0.0,-0.07005156
0.0,-0.07179516
0.0,-0.07194395
0.0,-0.0715192
0.0,-0.071203806
0.0,-0.07204378
0.0,-0.07130764
0.0,-0.071262665
0.0,-0.071935445
0.0,-0.07179346
0.0,-0.07211172
0.0,-0.071396224
0.0,-0.07115702
0.0,-0.07110189
0.0,-0.07243206
0.0,-0.0733439
0.0,-0.07155684
0.0,-0.07122592
0.0,-0.0718075
0.0,-0.07191658
0.0,-0.070700794
0.0,-0.07142451
0.0,-0.072087415
0.0,-0.07202767
0.0,-0.07186039
0.0,-0.07197715
0.0,-0.072121374
0.0,-0.07200298
0.0,-0.071847565
0.0,-0.07188414
0.0,-0.072053865
0.0,-0.07187248
0.0,-0.07191373
0.0,-0.07198077
0.0,-0.07309237
0.0,-0.07285406
0.0,-0.07199077
0.0,-0.07201433
0.0,-0.07164434
0.0,-0.071808256
0.0,-0.07155444
0.0,-0.071739964
0.0,-0.07193548
0.0,-0.072159335
0.0,-0.07188436
0.0,-0.07175753
0.0,-0.07221425
0.0,-0.0728742
0.0,-0.07174093
0.0,-0.07150357
0.0,-0.07168202
0.0,-0.07186077
0.0,-0.0721125
0.0,-0.0719315
0.0,-0.071983784
0.0,-0.071825355
0.0,-0.07201439
0.0,-0.072995834
