Train_y,Train_pred_y
0.0,-0.5470731
0.0,-0.5467018
0.0,-0.5464516
0.0,-0.54679096
0.0,-0.5469223
0.0,-0.54677486
0.0,-0.5467802
0.0,-0.5467438
0.0,-0.5468722
0.0,-0.54716516
0.0,-0.5474225
0.0,-0.5474716
0.0,-0.54749864
0.0,-0.54782486
0.0,-0.54703647
0.0,-0.5469797
0.0,-0.5469516
0.0,-0.54715025
0.0,-0.54679316
0.0,-0.5465937
0.0,-0.5468859
0.0,-0.54682064
0.0,-0.5468966
0.0,-0.54714566
0.0,-0.5468463
0.0,-0.54648805
0.0,-0.5464891
0.0,-0.5464314
0.0,-0.5460274
0.0,-0.5464118
0.0,-0.5465035
0.0,-0.5470353
0.0,-0.54737127
0.0,-0.5468167
0.0,-0.54671925
0.0,-0.54683596
0.0,-0.54712135
0.0,-0.54744303
0.0,-0.54743594
0.0,-0.5478186
0.0,-0.5474314
0.0,-0.5469457
0.0,-0.546169
0.0,-0.54618555
0.0,-0.54702616
0.0,-0.54718155
0.0,-0.5473074
0.0,-0.54754984
0.0,-0.54681003
0.0,-0.54666424
0.0,-0.54707754
0.0,-0.5472583
0.0,-0.54809475
0.0,-0.5487382
0.0,-0.5447306
0.0,-0.57025784
0.0,-0.64149785
0.0,-0.69796133
0.0,-0.7496653
0.0,-0.76843876
0.0,-0.77818024
0.0,-0.73622316
0.0,-0.6695734
0.0,-0.575245
0.0,-0.48346296
0.0,-0.39454094
0.0,-0.31293246
0.0,-0.23778716
0.0,-0.17865217
0.0,-0.13881482
0.0,-0.121040724
0.0,-0.11769774
0.0,-0.13327384
0.0,-0.13126813
0.0,-0.1425009
0.0,-0.12971713
0.0,-0.12715825
0.0,-0.09625164
0.0,-0.07633
0.0,-0.050474655
0.0,-0.030008867
0.0,0.007843556
0.0,0.029982485
0.0,0.06705742
0.0,0.08588095
0.0,0.120023504
0.0,0.13772178
0.0,0.17064878
0.0,0.18734355
0.0,0.21608135
0.0,0.22459391
0.0,0.2326463
0.0,0.23769699
0.0,0.23188804
0.0,0.2228617
0.0,0.21099414
0.0,0.19380262
0.0,0.19704805
0.0,0.19341557
0.0,0.18909885
0.0,0.19597915
0.0,0.19987369
0.0,0.21448351
0.0,0.22330868
0.0,0.23516299
0.0,0.24779136
0.0,0.26231736
0.0,0.2632005
0.0,0.27952942
0.0,0.28559846
0.0,0.29576322
0.0,0.31033707
0.0,0.30989656
0.0,0.31230024
0.0,0.31850943
0.0,0.31278473
0.0,0.3259079
0.0,0.35162935
0.0,0.36311612
0.0,0.3751455
0.0,0.3768286
0.0,0.37579182
0.0,0.37312758
0.0,0.37148076
0.0,0.35371327
0.0,0.37118736
0.0,0.35443664
0.0,0.3401198
0.0,0.33508348
0.0,0.35455614
0.0,0.36600924
0.0,0.3705904
0.0,0.38696167
0.0,0.40291527
0.0,0.4193433
0.0,0.44131008
0.0,0.45158064
0.0,0.46998698
0.0,0.47821945
0.0,0.50824213
0.0,0.5097815
0.0,0.54213977
0.0,0.54641503
0.0,0.5437221
0.0,0.5497172
0.0,0.518486
0.0,0.5143742
0.0,0.48921567
0.0,0.4819076
0.0,0.477279
0.0,0.465546
0.0,0.44542885
0.0,0.44205186
0.0,0.39797503
0.0,0.3881194
0.0,0.33453518
0.0,0.3209968
0.0,0.2803121
0.0,0.26177663
0.0,0.3489229
0.0,0.4403733
0.0,0.4194271
0.0,0.33655396
0.0,0.24553224
0.0,0.18508537
0.0,0.16487074
0.0,0.151178
0.0,0.16601202
0.0,0.18561377
0.0,0.2046956
0.0,0.24342108
0.0,0.25997087
0.0,0.24677534
0.0,0.23470894
0.0,0.23706649
0.0,0.2007932
0.0,0.17665678
0.0,0.19148225
0.0,0.17735575
0.0,0.17535797
0.0,0.1628384
0.0,0.18144825
0.0,0.17065059
0.0,0.14900215
0.0,0.10198684
0.0,0.041218594
0.0,-0.020402214
0.0,-0.07732405
0.0,-0.12625572
0.0,-0.18124534
0.0,-0.20670004
0.0,-0.21485244
0.0,-0.23410335
0.0,-0.22216006
0.0,-0.19098613
0.0,-0.14598903
0.0,-0.10537858
0.0,-0.051730324
0.0,-0.006403707
0.0,0.0029187454
0.0,0.04332835
0.0,0.053497743
0.0,0.09238283
0.0,0.10210537
0.0,0.14491135
0.0,0.1446408
0.0,0.1664549
0.0,0.16773209
0.0,0.19484001
0.0,0.17689136
0.0,0.22529878
0.0,0.23541975
0.0,0.3024345
0.0,0.3658613
0.0,0.5410604
0.0,0.7780554
0.0,1.1591326
0.0,1.6564497
0.0,2.3075984
0.0,3.0811486
0.0,3.9178965
0.0,4.7666717
18.19043,5.53789
18.451904,20.523914
18.682617,20.575912
18.903076,19.95163
19.062012,19.989607
19.179932,20.198803
19.302979,20.359314
19.405518,20.461885
19.497803,20.49891
19.559326,20.493567
19.625977,20.498075
19.672119,20.487345
19.708008,20.547733
19.764404,20.665596
19.779785,20.801006
19.831055,21.000282
19.887451,21.184187
19.959229,21.400444
20.036133,21.554384
20.092529,21.707735
20.189941,21.772928
20.266846,21.806456
20.328369,21.744774
20.400146,21.686092
20.466797,21.616793
20.52832,21.653923
20.564209,21.599806
20.620605,21.694796
20.656494,21.652777
20.69751,21.710903
20.748779,21.697477
20.810303,21.76543
20.846191,21.788187
20.902588,21.921057
20.928223,21.95926
20.943604,22.091574
20.984619,22.044556
20.964111,22.124302
20.989746,21.944445
20.994873,21.94917
21.010254,21.767014
21.046143,21.71666
21.056396,21.43096
21.123047,20.97009
21.215332,20.23886
21.328125,19.283375
21.502441,18.326729
21.681885,17.46435
3.04541,16.719769
2.768555,2.5888023
2.517334,1.6498127
2.32251,1.7336748
2.132812,1.9759693
1.989258,2.1984406
1.8457029999999999,2.2414825
1.748291,2.259812
1.620117,2.185831
1.5534669999999997,2.127108
1.4509279999999998,1.9863547
1.404785,1.8686991
1.322754,1.7111259
