Train_y,Train_pred_y
0.0,-0.13044868
0.0,-0.13094741
0.0,-0.13030897
0.0,-0.13035387
0.0,-0.13012764
0.0,-0.12991378
0.0,-0.12947428
0.0,-0.12932421
0.0,-0.12974846
0.0,-0.13011488
0.0,-0.12997255
0.0,-0.12981783
0.0,-0.13016135
0.0,-0.1303009
0.0,-0.12977427
0.0,-0.12996025
0.0,-0.12967394
0.0,-0.12993017
0.0,-0.12887508
0.0,-0.12934627
0.0,-0.12970111
0.0,-0.12954466
0.0,-0.13008632
0.0,-0.12966655
0.0,-0.12979004
0.0,-0.1303445
0.0,-0.12992565
0.0,-0.13105164
0.0,-0.13088891
0.0,-0.13102303
0.0,-0.12988594
0.0,-0.129254
0.0,-0.1295532
0.0,-0.12965868
0.0,-0.13023363
0.0,-0.13048743
0.0,-0.12979363
0.0,-0.13029106
0.0,-0.13008721
0.0,-0.1301856
0.0,-0.13062464
0.0,-0.13049588
0.0,-0.13083301
0.0,-0.13489607
0.0,-0.1393007
0.0,-0.13739394
0.0,-0.18032505
0.0,-0.24171996
0.0,-0.2879234
0.0,-0.32267067
0.0,-0.38771132
0.0,-0.40012363
0.0,-0.4095933
0.0,-0.35580352
0.0,-0.3107221
0.0,-0.23040308
0.0,-0.16970623
0.0,-0.07910001
0.0,-0.007068572
0.0,0.07739142
0.0,0.1253889
0.0,0.18225764
0.0,0.20992707
0.0,0.24231337
0.0,0.26451868
0.0,0.29368916
0.0,0.30875915
0.0,0.33895618
0.0,0.36397633
0.0,0.40221405
0.0,0.42310396
0.0,0.45568764
0.0,0.46430516
0.0,0.47998688
0.0,0.47174606
0.0,0.47864306
0.0,0.47140157
0.0,0.4720412
0.0,0.4691008
0.0,0.46834368
0.0,0.46392295
0.0,0.45358634
0.0,0.44579172
0.0,0.4481896
0.0,0.4423157
0.0,0.4361913
0.0,0.43380925
0.0,0.42274544
0.0,0.4207033
0.0,0.4115208
0.0,0.3994947
0.0,0.39556065
0.0,0.38735044
0.0,0.38586792
0.0,0.3827278
0.0,0.38094115
0.0,0.37844527
0.0,0.37934968
0.0,0.37388518
0.0,0.37805942
0.0,0.37566698
0.0,0.37835592
0.0,0.37854922
0.0,0.3761094
0.0,0.37913862
0.0,0.37973395
0.0,0.3754018
0.0,0.3796269
0.0,0.38610047
0.0,0.38852862
0.0,0.40331712
0.0,0.4116724
0.0,0.4277865
0.0,0.44193065
0.0,0.46033272
0.0,0.46520433
0.0,0.4798752
0.0,0.47587174
0.0,0.47374308
0.0,0.47210237
0.0,0.4702269
0.0,0.46481326
0.0,0.46463
0.0,0.47163343
0.0,0.48444206
0.0,0.49413183
0.0,0.5067234
0.0,0.51183105
0.0,0.51720554
0.0,0.51162326
0.0,0.5050828
0.0,0.48976007
0.0,0.49180093
0.0,0.48553187
0.0,0.49690098
0.0,0.51423955
0.0,0.51084274
0.0,0.5217008
0.0,0.51038927
0.0,0.5169584
0.0,0.50436944
0.0,0.50710166
0.0,0.5154672
0.0,0.53431386
0.0,0.5257772
0.0,0.5482622
0.0,0.51577896
0.0,0.51911956
0.0,0.44128028
0.0,0.37439767
0.0,0.66792
0.0,0.7422963
0.0,0.74980694
0.0,0.7437648
0.0,0.75277466
0.0,0.77558875
0.0,0.8281011
0.0,0.8690279
0.0,0.9248263
0.0,0.9749737
0.0,1.0261588
0.0,1.0802252
0.0,1.1252027
0.0,1.1535106
0.0,1.1815474
0.0,1.2085501
0.0,1.2019864
0.0,1.208721
0.0,1.2325791
0.0,1.2381612
0.0,1.2569662
0.0,1.2511766
0.0,1.2610314
0.0,1.2574794
0.0,1.2360556
0.0,1.2205741
0.0,1.1813767
0.0,1.164252
